Generation,Best Fitness,Average Fitness,Species Count
0,-250.59581111111112,-425.4675013703704,2
1,-256.31627901234566,-413.2839254567898,2
2,-242.63252098765435,-404.6835011604939,2
3,-104.20306543209875,-382.9625489259259,2
4,33.35250246913574,-395.3104271234565,2
5,11.802818518518563,-353.14765856790126,2
6,-20.612513580246855,-349.2405562469136,2
7,2509.3059728395065,-299.8419894444445,2
8,12.871618518518517,-319.37347391358026,2
9,123.1202358024691,-304.209767654321,2
10,389.9320864197532,-303.47285753086425,2
11,457.84791851851844,-274.63378333333327,2
12,427.01296666666667,-288.46273708641985,2
13,48.14214444444451,-312.4118396790122,2
14,11.519391358024677,-323.4944262345678,2
15,368.6261925925926,-286.78174740740747,2
16,251.01720864197523,-332.3018475061729,2
17,268.19108271604944,-327.4974817160493,2
18,297.79801851851846,-294.6285602345679,2
19,259.442650617284,-282.2311183950618,2
20,305.53757654321,-288.8100235679013,2
21,252.43388271604942,-318.8200895925925,2
22,841.2968962962964,-291.8393284444445,2
23,527.3147666666666,-294.27834970370367,2
24,461.26378641975316,-301.85563228395074,2
25,960.9103765432098,-290.09761059259256,2
26,154.553524691358,-304.916214765432,2
27,608.2982962962963,-281.5001629135803,2
28,405.80234074074076,-279.1833455308642,2
29,26.936444444444533,-325.43606074074086,2
30,9.445476543209907,-336.37703779012344,2
31,1565.9180185185185,-293.3404204567902,2
32,303.8931827160494,-271.8816644691357,2
33,378.51559876543206,-310.35136338271604,2
34,169.4002197530864,-324.2804376913579,2
35,94.21079135802472,-307.4921735185185,2
36,283.2983765432099,-231.7920112469136,2
37,1911.5185185185185,-254.5345989012346,2
38,144.34017530864196,-290.5007934691359,2
39,170.70076049382715,-270.9486993950617,2
40,1481.1178185185183,-279.29797711111127,2
41,380.3318925925927,-294.8873215308641,2
42,379.71150493827156,-313.6394587654322,2
43,712.389350617284,-256.3016205802469,2
44,53.541254320987605,-327.1833630123456,2
45,68.44307530864205,-302.96311885185185,2
46,633.7780925925927,-313.11738693827164,2
47,489.02620864197536,-330.37477588888873,2
48,110.02357530864197,-317.83708533333333,2
49,327.86126666666667,-326.878376851852,2
50,365.61758641975314,-292.4687485185184,2
51,27.337602469135845,-328.1625109382715,2
52,8.551854320987673,-328.19168917283963,2
53,205.80960370370371,-310.2533173209876,2
54,21.090782716049375,-317.5491831481483,2
55,194.6481679012345,-304.6622865308641,2
56,2069.335802469136,-283.6745210123456,2
57,523.2933407407407,-285.75574390123455,2
58,556.221550617284,-292.22755662962965,2
59,124.72991975308639,-315.5287251358023,2
60,260.2057827160494,-307.61839002469134,2
61,474.7744666666666,-308.3232787777777,2
62,172.89417530864205,-292.06420485185185,2
63,797.4013728395062,-295.98480593827173,2
64,644.5456925925926,-268.2814540987655,2
65,368.65205061728386,-270.92868651851853,2
66,400997.4789851852,3723.9435752592585,2
67,656.4839827160495,-247.4294057407408,2
68,163.91076666666663,-266.85610622222225,2
69,160.10310246913582,-286.7525189506173,2
70,250.27821851851843,-238.65387420987656,2
71,977.2964962962963,-252.31887833333332,2
72,308.46506666666664,-265.88455344444435,2
73,139.93057530864212,-255.57373261728387,2
74,541.0133925925927,-234.2649090123457,2
75,1541.6371469135802,-199.57785087654327,2
76,161.45126049382714,-255.19699062962974,2
77,682.7751925925927,-240.98629862962963,2
78,214.95884444444448,-227.50003595061725,2
79,725.3961246913582,-227.79498402469142,2
80,808.1758086419752,-257.84208072839493,2
81,446.48425061728403,-259.45790285185177,2
82,270.8982506172839,-242.38923435802454,2
83,626.0412469135802,-223.88611670370378,2
84,79.80480246913578,-281.0635641728397,2
85,656.1776246913578,-240.81537974074084,2
86,483.63355061728396,-258.16068546913584,2
87,829.278650617284,-249.819126308642,2
88,3088.067266666667,-245.7194087160495,2
89,3331.820622222222,-199.01721632098767,2
90,701.223450617284,-218.88891880246905,2
91,456.8638765432099,-249.63845909876534,2
92,750.2079555555556,-246.25935417283935,2
93,334.68202469135804,-269.79773913580243,2
94,533.2237666666667,-207.97152197530863,2
95,312.99908271604943,-285.2100159382715,2
96,293.14346666666654,-304.5347707407407,2
97,675.2403086419754,-252.6995066913583,2
98,851.3624827160493,-255.9391107777776,2
99,3580.5996,-210.44394458024684,2
100,1870.0458444444446,-229.93270555555551,2
101,1298.127077777778,-219.8592050370371,2
102,713.5889,-241.34593932098753,2
103,401130.0433888889,3762.6963686296285,2
104,779.932024691358,-253.6686647654321,2
105,1141.4732925925928,-257.8349622716049,2
106,608.9336345679012,-267.8298775802468,2
107,401097.38967530866,3876.3263468271593,2
108,548.0373506172839,-271.20897054321,2
109,528.9002098765432,-241.43998165432097,2
110,73.02900246913578,-272.8157703827161,2
111,171.8894444444445,-280.2148395308642,2
112,105.4528864197531,-274.9310558888891,2
113,953.2361469135801,-274.23036912345685,2
114,881.4133506172841,-248.8433517901233,2
115,447.64043456790125,-260.39592724691346,2
116,302.39340864197527,-242.6738049629631,2
117,364.63500246913577,-275.8971869382718,2
118,271.72276666666664,-251.5589707654321,2
119,192.5104827160494,-286.05865649382713,2
120,79.31154444444451,-316.94631279012316,2
121,377.40839382716047,-303.12692906172833,2
122,145.8472333333334,-313.4113348271609,2
123,164.1327666666666,-296.3411235308642,2
124,751.84694691358,-285.7397083827161,2
125,234.446212345679,-274.24813748148136,2
126,615.9257407407408,-273.6711823456789,2
127,407.39152839506164,-280.7745492839505,2
128,191.83757037037049,-286.53522148148136,2
129,1143.1931148148149,-268.4629137654322,2
130,540.1839938271605,-276.0961422592591,2
131,1093.2947962962962,-249.96784014814818,2
132,187.6892024691358,-299.74216285185196,2
133,426.6554506172839,-291.19960445679027,2
134,392.3895938271605,-237.88549154320992,2
135,354.3995283950617,-242.6876105185185,2
136,260.53600246913584,-279.00964498765427,2
137,310.9653604938271,-264.1664919629629,2
138,240.03126049382718,-277.0932911851852,2
139,633.9260827160495,-247.98948945679018,2
140,42.77553456790133,-289.75677799999994,2
141,403.6427925925925,-302.9606706172839,2
142,60.55411234567896,-289.52652813580255,2
143,83.84062839506169,-263.32098138271607,2
144,230.0833135802469,-266.5952076666665,2
145,2373.905872839506,-259.0681719135802,2
146,711.9501308641975,-279.4945840864199,2
147,346.16030987654324,-280.59117077777756,2
148,379.9200086419753,-291.9100545802468,2
149,428.57044074074076,-281.59988002469134,2
150,408.42546049382713,-267.7216302962963,2
151,1349.9968728395063,-264.7324323580247,2
152,130.391175308642,-295.3849598271606,2
153,423.83580246913573,-284.37393374074077,2
154,401918.5585876543,3757.2653234074132,2
155,177.85664444444456,-305.85443122222216,2
156,90.75074444444454,-289.3571151358023,2
157,418.0825666666667,-289.0990508518518,2
158,236.53260246913578,-267.77931372839515,2
159,521.0945716049384,-273.4995806419754,2
160,401366.46944074077,3875.893273592589,2
161,186.9613604938271,-327.2020959999999,2
162,736.2523728395063,-269.60620195061745,2
163,458.6020666666666,-245.7353589135802,2
164,543.5478197530865,-265.3911764938272,2
165,532.9865925925926,-280.9972328271606,2
166,584.6259925925926,-224.8439265308641,2
167,401205.8820728395,4050.697434209881,2
168,649.9739506172841,-284.22003361728395,2
169,387.66745061728386,-249.31542277777783,2
170,1758.3756086419753,-241.74207756790136,2
171,340.5191098765432,-259.13325782716055,2
172,608.0624407407408,-261.5349979876545,2
173,333.4253506172839,-247.43446618518513,2
174,401533.7511666667,3788.351346086426,2
175,493.0758888888889,-300.532416037037,2
176,401452.14458024694,3770.694859296294,2
177,361.0881185185184,-249.28239685185187,2
178,401922.0170962963,3785.2427151481493,2
179,402988.9442876543,3785.4023203827173,2
180,1345.9035518518517,-288.3069527037036,2
181,299.77681975308633,-283.2724511358026,2
182,428.32800246913587,-268.12934114814846,2
183,401067.74110864196,4054.9008882222156,2
184,1020.4585901234568,-288.66904120987647,2
185,428.58194074074083,-257.13031299999994,2
186,402987.8280876543,3758.112873024688,2
187,341.8517925925926,-282.4837468641976,2
188,433.3671444444444,-257.4130074197529,2
189,781.2730666666666,-231.90393566666677,2
190,429.4462246913579,-242.60157476543213,2
191,123.7279086419752,-269.3593263827161,2
192,418.8548666666667,-258.8800948641975,2
193,2749.4513518518515,-227.31472195061716,2
194,369.367150617284,-293.39316845679025,2
195,493.6376864197532,-258.6526627283951,2
196,262.47565061728403,-245.42511581481492,2
197,412.0471666666666,-264.2936378641974,2
198,816.6462925925925,-244.19342781481467,2
199,571.10917654321,-227.09512148148156,2
